Entry_No,Sample_ID,Reference Doi,Reference Short,Rocktype,Craton,Country,Specific Location,Mineral,Garnet_type,SiO2,TiO2,Al2O3,CaO,Cr2O3,FeO,Fe2O3,MgO,MnO,Na2O,Ni,Sr,T,P
9012,PTH-405,https://doi.org/10.1029/SP016p0127,"Carswell, Clarke and Mitchell 1979",Garnet lherzolite,Kalahari,Lesotho,Pipe 200,Garnet,G9,41.4,0.04,18.9,5.32,6.29,6.755,0.183,20.1,0.37,,,,916.52,36.59
9015,PTH-406,https://doi.org/10.1029/SP016p0127,"Carswell, Clarke and Mitchell 1979",Garnet lherzolite,Kalahari,Lesotho,Pipe 200,Garnet,G9,41.7,0.05,18.8,6.6,7.15,6.434,0.185,19.2,0.39,,,,987.36,41.61
9019,PTH-407,https://doi.org/10.1029/SP016p0127,"Carswell, Clarke and Mitchell 1979",Garnet lherzolite,Kalahari,Lesotho,Pipe 200,Garnet,G9,40.9,0.04,18.1,6.5,7.59,6.636,0.182,19.4,0.37,,,,970.44,39.36
9023,PTH-409,https://doi.org/10.1029/SP016p0127,"Carswell, Clarke and Mitchell 1979",Garnet spinel lherzolite,Kalahari,Lesotho,Pipe 200,Garnet,G9,41.4,0.07,17.9,6.55,7.68,6.365,0.183,19.2,0.41,,,,1050.08,43.34
9028,PTH-410,https://doi.org/10.1029/SP016p0127,"Carswell, Clarke and Mitchell 1979",Garnet spinel lherzolite,Kalahari,Lesotho,Pipe 200,Garnet,G9,41.6,0.09,19.1,5.55,6.96,6.289,0.601,20.8,0.35,,,,1037.4,41.02
9036,RAJ106,NA,"Boyd, unpubl.",Garnet lherzolite,Kalahari,South Africa,Hebron,Garnet,G9,42.12,0.02,22.23,5.6,2.5,7.152,0.754,20.61,0.43,0.02,,,966.46,32.48
9064,RHM-H01,https://doi.org/10.1007/BF00381845,Mitchell (1984),Garnet lherzolite,Rehoboth,Namibia,Hanaus,Garnet,G9,41.91,0.07,20.09,5.9,4.07,7.414,0.185,19.71,0.39,,,,930.88,34.7
9071,RHM-H04,https://doi.org/10.1007/BF00381845,Mitchell (1984),Garnet lherzolite,Rehoboth,Namibia,Hanaus,Garnet,G9,42.65,0.11,20.89,5.41,3.37,7.891,0.188,20.55,0.43,,,,1064.84,44.25
9074,RHM-H06,https://doi.org/10.1007/BF00381845,Mitchell (1984),Garnet lherzolite,Rehoboth,Namibia,Hanaus,Garnet,G9,42.52,0.15,19.23,5.78,6,6.381,0.188,20.91,0.36,,,,1109.72,46.98
9078,RHM-H07,https://doi.org/10.1007/BF00381845,Mitchell (1984),Garnet lherzolite,Rehoboth,Namibia,Hanaus,Garnet,G9,41.95,0.17,21.16,4.97,3.01,7.293,0.186,20.54,0.35,,,,998.81,42.01
9084,RHM-H09,https://doi.org/10.1007/BF00381845,Mitchell (1984),Garnet lherzolite,Rehoboth,Namibia,Hanaus,Garnet,G9,42.1,0.09,18.89,6.7,6.09,5.923,0.185,20.07,0.27,,,,1409.96,48.86
9087,RHM-H11,https://doi.org/10.1007/BF00381845,Mitchell (1984),Garnet lherzolite,Rehoboth,Namibia,Hanaus,Garnet,G11,42.36,0.73,19.73,5.58,3.99,6.852,0.186,20.5,0.32,,,,1367.15,44.9
9096,RHM-H17,https://doi.org/10.1007/BF00381845,Mitchell (1984),Garnet lherzolite,Rehoboth,Namibia,Hanaus,Garnet,G9,42.4,0.08,20.79,6.02,3.87,7.542,0.187,19.83,0.42,,,,924.58,37.21
9099,RHM-H18,https://doi.org/10.1007/BF00381845,Mitchell (1984),Garnet lherzolite,Rehoboth,Namibia,Hanaus,Garnet,G9,42.03,0.08,20.42,5.63,4.23,7.503,0.186,19.84,0.46,,,,925.39,36.24
9102,RHM-H19,https://doi.org/10.1007/BF00381845,Mitchell (1984),Garnet lherzolite,Rehoboth,Namibia,Hanaus,Garnet,G9,42.82,0.15,18.87,4.8,2.65,7.755,0.184,21.16,0.43,,,,975.57,40.23
9105,RHM-H20,https://doi.org/10.1007/BF00381845,Mitchell (1984),Garnet lherzolite,Rehoboth,Namibia,Hanaus,Garnet,G11,42.13,0.66,20.84,5.27,3.11,7.411,0.187,20.97,0.26,,,,1361.1,47.79
9109,RHM-H22,https://doi.org/10.1007/BF00381845,Mitchell (1984),Garnet lherzolite,Rehoboth,Namibia,Hanaus,Garnet,G11,42.11,0.62,20.94,5.31,2.98,7.412,0.187,20.77,0.27,,,,1404.95,46.35
9112,RHM-H26,https://doi.org/10.1007/BF00381845,Mitchell (1984),Garnet lherzolite,Rehoboth,Namibia,Hanaus,Garnet,G11,42.81,0.65,20.35,5.45,2.76,7.252,0.187,20.7,0.31,,,,1354,46.66
9116,RHM-H27,https://doi.org/10.1007/BF00381845,Mitchell (1984),Garnet lherzolite,Rehoboth,Namibia,Hanaus,Garnet,G9,41.81,0.04,20.64,5.81,3.81,7.384,0.184,19.41,0.35,,,,911.3,35.08
9119,RHM-L01,https://doi.org/10.1007/BF00381845,Mitchell (1984),Garnet lherzolite,Rehoboth,Namibia,Louwrensia,Garnet,G9,42.18,0.24,18.47,6.01,5.35,7.464,0.185,19.98,0.46,,,,1152.45,49
9123,RHM-L04,https://doi.org/10.1007/BF00381845,Mitchell (1984),Garnet lherzolite,Rehoboth,Namibia,Louwrensia,Garnet,G12,42.53,0.01,21.29,6.01,2.38,7.372,0.187,20.27,0.43,,,,871.81,38.71
9127,RHM-L10,https://doi.org/10.1007/BF00381845,Mitchell (1984),Garnet lherzolite,Rehoboth,Namibia,Louwrensia,Garnet,G12,42.22,0.03,20.1,6.55,4.3,6.912,0.186,19.93,0.4,,,,1026.92,42.78
9131,RHM-L14,https://doi.org/10.1007/BF00381845,Mitchell (1984),Garnet spinel lherzolite,Rehoboth,Namibia,Louwrensia,Garnet,G9,40.89,0.19,18.63,6.83,6.11,6.502,0.731,19.6,0.43,,,,1009.11,40.63
9136,RHM-L17,https://doi.org/10.1007/BF00381845,Mitchell (1984),Garnet lherzolite,Rehoboth,Namibia,Louwrensia,Garnet,G9,42.44,0.34,19.35,5.88,3.7,7.463,0.185,20.44,0.29,,,,1141.2,47.32
9140,RHM-L19,https://doi.org/10.1007/BF00381845,Mitchell (1984),Garnet lherzolite,Rehoboth,Namibia,Louwrensia,Garnet,G9,41.44,0.03,20.39,6.09,4.24,7.244,0.184,19.63,0.37,,,,999.79,39.57
9144,RHM-L20,https://doi.org/10.1007/BF00381845,Mitchell (1984),Garnet lherzolite,Rehoboth,Namibia,Louwrensia,Garnet,G9,42.48,0,21.1,5.76,3.36,7.122,0.187,20.23,0.38,,,,985.51,40.95
9148,RHM-L21,https://doi.org/10.1007/BF00381845,Mitchell (1984),Garnet lherzolite,Rehoboth,Namibia,Louwrensia,Garnet,G9,42.59,0.06,20.75,6.45,4.56,7.23,0.189,19.97,0.43,,,,959.49,38.86
9152,RHM-L22,https://doi.org/10.1007/BF00381845,Mitchell (1984),Garnet lherzolite,Rehoboth,Namibia,Louwrensia,Garnet,G9,43.06,0.25,22.81,4.84,1.36,7.589,0.19,21.12,0.33,,,,954.34,35.75
9156,RHM-L23,https://doi.org/10.1007/BF00381845,Mitchell (1984),Garnet lherzolite,Rehoboth,Namibia,Louwrensia,Garnet,G9,42.57,0,21.86,5.73,2.92,6.919,0.724,20.91,0.39,,,,1077.59,46.55
9160,RHM-L24,https://doi.org/10.1007/BF00381845,Mitchell (1984),Garnet lherzolite,Rehoboth,Namibia,Louwrensia,Garnet,G9,42.93,0.23,21.34,5.31,3.03,7.309,0.19,21.16,0.36,,,,1094,43.33
9163,RHM-L25,https://doi.org/10.1007/BF00381845,Mitchell (1984),Garnet lherzolite,Rehoboth,Namibia,Louwrensia,Garnet,G9,42.7,0.28,17.94,5.95,5.6,6.134,0.184,20.14,0.32,,,,1199.54,44.5
9167,RHM-L26,https://doi.org/10.1007/BF00381845,Mitchell (1984),Garnet lherzolite,Rehoboth,Namibia,Louwrensia,Garnet,G9,42.33,0.19,20.55,5.63,4.16,5.674,0.729,21.6,0.41,,,,1266.49,49.62
9171,RHM-L28,https://doi.org/10.1007/BF00381845,Mitchell (1984),Garnet lherzolite,Rehoboth,Namibia,Louwrensia,Garnet,G9,42.48,0.25,20.38,5.63,3.18,7.883,0.186,19.8,0.36,,,,1106.44,48.48
9175,RHM-L32,https://doi.org/10.1007/BF00381845,Mitchell (1984),Garnet spinel lherzolite,Rehoboth,Namibia,Louwrensia,Garnet,G9,42.27,0.05,21.02,6.04,3.42,6.769,0.446,20.56,0.44,,,,972.7,44.78
9180,RHM-L33,https://doi.org/10.1007/BF00381845,Mitchell (1984),Garnet lherzolite,Rehoboth,Namibia,Louwrensia,Garnet,G9,42.59,0.2,21.08,5.48,3.73,6.158,0.202,21.64,0.37,,,,1116.28,43.04
9184,RHM-L34,https://doi.org/10.1007/BF00381845,Mitchell (1984),Garnet lherzolite,Rehoboth,Namibia,Louwrensia,Garnet,G9,42.46,0.05,20.96,5.6,3.04,7.592,0.187,20.26,0.37,,,,986.27,37.59
9188,RHM-L35,https://doi.org/10.1007/BF00381845,Mitchell (1984),Garnet lherzolite,Rehoboth,Namibia,Louwrensia,Garnet,G9,42.42,0.02,19.52,6.18,3.72,7.285,0.183,19.06,0.5,,,,979.05,41
9195,RHM-L41,https://doi.org/10.1007/BF00381845,Mitchell (1984),Garnet lherzolite,Rehoboth,Namibia,Louwrensia,Garnet,G9,41.82,0.09,19.77,6.03,4.4,6.492,0.742,20.69,0.42,,,,1049.86,55.59
9203,RHM-L43,https://doi.org/10.1007/BF00381845,Mitchell (1984),Garnet lherzolite,Rehoboth,Namibia,Louwrensia,Garnet,G9,42.75,0.04,20.53,5.88,3.34,6.982,0.187,20.19,0.4,,,,1004.24,39.92
9207,ROM-03,http://hdl.handle.net/11427/22096,"R.O. Moore PhD thesis, 1986",Garnet Lherzolite,Kalahari,Lesotho,Monastery,Garnet,G9,41.89,0.01,22.6,4.62,2.78,6.642,0.187,20.8,0.3,0.01,,,892.56,34.96
9211,ROM-10,http://hdl.handle.net/11427/22096,"R.O. Moore PhD thesis, 1986",Garnet spinel websterite,Kalahari,Lesotho,Monastery,Garnet,G9,40.88,0.04,21.76,5.42,2.56,10.736,0.182,17.53,0.48,0.01,,,776.11,28.87
9216,ROM-108,http://hdl.handle.net/11427/22096,"R.O. Moore PhD thesis, 1986",Garnet websterite,Kalahari,Lesotho,Monastery,Garnet,G9,42.21,0.01,22.54,4.58,2.48,5.992,0.187,21.07,0.27,0.01,,,813.63,30.45
9218,ROM-189,http://hdl.handle.net/11427/22096,"R.O. Moore PhD thesis, 1986",Garnet harzburgite,Kalahari,Lesotho,Monastery,Garnet,G9,41.63,0.01,22.13,4.76,3.24,6.873,0.186,20.25,0.35,0.01,,,877.53,34.62
9222,ROM-194,http://hdl.handle.net/11427/22096,"R.O. Moore PhD thesis, 1986",Garnet Lherzolite,Kalahari,Lesotho,Monastery,Garnet,G9,41.82,0.04,21.81,4.39,3.7,6.803,0.186,20.5,0.4,0.01,,,846.06,32.39
9226,ROM-198,http://hdl.handle.net/11427/22096,"R.O. Moore PhD thesis, 1986",Garnet Lherzolite,Kalahari,Lesotho,Monastery,Garnet,G9,42.18,0.01,21.65,4.74,3.36,6.862,0.186,20.38,0.41,0.01,,,831.49,30.7
9230,ROM-210,http://hdl.handle.net/11427/22096,"R.O. Moore PhD thesis, 1986",Garnet Lherzolite,Kalahari,Lesotho,Monastery,Garnet,G9,41.91,0.03,21.11,5.26,4.11,6.833,0.186,20.25,0.35,0.01,,,912.03,35.61
9233,ROM-211,http://hdl.handle.net/11427/22096,"R.O. Moore PhD thesis, 1986",Garnet harzburgite,Kalahari,Lesotho,Monastery,Garnet,G9,42.3,0.01,22.63,4.6,2.63,6.691,0.188,20.87,0.31,0.01,,,846.25,32.45
9238,ROM-30,http://hdl.handle.net/11427/22096,"R.O. Moore PhD thesis, 1986",Garnet Lherzolite,Kalahari,Lesotho,Monastery,Garnet,G9,42.15,0.01,21.81,4.73,3.13,6.772,0.187,20.7,0.34,0.01,,,898.62,35.13
9242,ROM-302,http://hdl.handle.net/11427/22096,"R.O. Moore PhD thesis, 1986",Garnet Lherzolite,Kalahari,Lesotho,Monastery,Garnet,G9,41.57,0.09,21.52,4.82,3.88,7.542,0.186,20.41,0.39,0.01,,,867,34.28
9246,ROM-318 PY-07,http://hdl.handle.net/11427/22096,"R.O. Moore PhD thesis, 1986",Garnet spinel websterite,Kalahari,Lesotho,Monastery,Garnet,G9,41.99,0.01,22.52,5.17,2.5,7.682,0.187,19.96,0.49,0.01,,,758.2,27.57
9251,ROM-377 DP-01,http://hdl.handle.net/11427/22096,"R.O. Moore PhD thesis, 1986",Garnet Lherzolite,Kalahari,Lesotho,Monastery,Garnet,G11,41.09,1.32,18.31,5.63,5.56,7.325,0.183,19.92,0.31,0.09,,,1218.57,53.18
9255,ROM-377 LH-108,http://hdl.handle.net/11427/22096,"R.O. Moore PhD thesis, 1986",Garnet spinel lherzolite,Kalahari,Lesotho,Monastery,Garnet,G9,40.83,0.18,19.25,6.01,6.12,8.036,0.183,18.82,0.43,0.01,,,906.1,37.17
9260,ROM-377 LH-109,http://hdl.handle.net/11427/22096,"R.O. Moore PhD thesis, 1986",Garnet harzburgite,Kalahari,Lesotho,Monastery,Garnet,G9,41.66,0.01,21.94,4.97,3.12,7.293,0.186,19.98,0.44,0.01,,,807.14,30.08
9265,ROM-377 LH-111,http://hdl.handle.net/11427/22096,"R.O. Moore PhD thesis, 1986",Garnet spinel lherzolite,Kalahari,Lesotho,Monastery,Garnet,G9,41.82,0.01,22.35,4.99,2.78,7.462,0.187,20.11,0.44,0.01,,,810.34,30.47
9269,ROM-377 LH-83,http://hdl.handle.net/11427/22096,"R.O. Moore PhD thesis, 1986",Garnet spinel lherzolite,Kalahari,Lesotho,Monastery,Garnet,G9,41.65,0.01,22.08,5.27,3.02,7.633,0.186,19.88,0.39,0.01,,,808.94,31.16
9274,ROM-68,http://hdl.handle.net/11427/22096,"R.O. Moore PhD thesis, 1986",Garnet Lherzolite,Kalahari,Lesotho,Monastery,Garnet,G9,41.66,0.18,20.23,4.86,5.32,5.793,0.186,21.13,0.3,0.01,,,901.23,36.66
9278,ROM-69,http://hdl.handle.net/11427/22096,"R.O. Moore PhD thesis, 1986",Garnet spinel lherzolite,Kalahari,Lesotho,Monastery,Garnet,G9,41.54,0.01,22.14,4.67,3.41,7.492,0.186,20.22,0.47,0.01,,,838.67,32.52
9412,SHX49,UCT Thesis,"HILL, S.J. (MSC THESIS, 1989)",Garnet harzburgite,Kalahari,South Africa,Star,Garnet,G10,42.22,0.01,20.38,2.25,5.83,5.291,0.187,23.23,0.3,0.01,,,958.65,49.02
9419,SM5,UCT Thesis,Mofokeng Hons 1996,Garnet harzburgite,Kalahari,South Africa,Frank Smith,Garnet,G11,41.09,1.36,18.09,5.86,5.44,6.935,0.183,20.11,0.28,0.08,,,1278.19,58.74
9423,SM6,UCT Thesis,Mofokeng Hons 1996,Garnet lherzolite,Kalahari,South Africa,Frank Smith,Garnet,G9,41.28,0.22,21.01,4.95,2.93,7.147,0.737,20.58,0.3,0.03,,,1264.29,53.03
9426,SM7,UCT Thesis,Mofokeng Hons 1996,Garnet harzburgite,Kalahari,South Africa,Frank Smith,Garnet,G11,40.61,1.63,17.01,6.09,6.44,6.667,0.181,20.01,0.29,0.11,,,1322.51,63.92
9430,UINT-4,https://doi.org/10.1093/petrology/egq041,Janney et al. 2010,Garnet websterite,Kalahari,South Africa,Uintjiesberg,Garnet,G9,42.23,0.01,21.8,5.86,1.93,7.147,0.348,20.27,0.35,0.08,,,933.8,32.38
9433,UINT-8,https://doi.org/10.1093/petrology/egq041,Janney et al. 2010,Garnet spinel lherzolite,Kalahari,South Africa,Uintjiesberg,Garnet,G9,41.68,0.14,20.89,5.03,4.16,6.276,0.348,21.14,0.33,0.05,,,1035.04,37.62
9439,XBULT12,http://hdl.handle.net/11427/22205,Lawless PhD thesis 1978,Garnet lherzolite,Kalahari,South Africa,Bultfontein,Garnet,G9,42.2,0.03,20.3,5.2,4.49,6.342,0.687,21.4,0.3,0.01,,,1072.97,47.54
9443,XBULT19,http://hdl.handle.net/11427/22205,Lawless PhD thesis 1978,Garnet lherzolite,Kalahari,South Africa,Bultfontein,Garnet,G9,42.4,0.03,22.3,4.28,1.77,8.281,0.187,20.7,0.38,0.01,,,829.63,34.09
9450,XDB1-f,UCT Thesis,"Smith, M.R. (Ph.D thesis, 1981)",Garnet lherzolite,Kalahari,South Africa,De Beers Mine,Garnet,G9,42.52,0.08,21.76,4.63,2.48,8.091,0.187,20.38,0.38,0.03,,,833.63,33.63
9454,XDB5,UCT Thesis,"Smith, M.R. (Ph.D thesis, 1981)",Garnet spinel lherzolite,Kalahari,South Africa,De Beers Mine,Garnet,G9,41.95,0.06,19.91,5.14,5.01,7.103,0.185,20.1,0.48,0.04,,,873.24,36.21
9458,XDB7,UCT Thesis,"Smith, M.R. (Ph.D thesis, 1981)",Garnet spinel lherzolite,Kalahari,South Africa,De Beers Mine,Garnet,G9,42.09,0.03,20.84,5.14,3.43,8.284,0.185,19.23,0.48,0.03,,,833.1,33.53
9462,XMW-13,https://doi.org/10.1093/petrology/egq041,Janney et al. 2010,Garnet spinel lherzolite,Kalahari,South Africa,Melton Wold,Garnet,G9,40.98,0.32,19.03,5.67,6.12,6.735,0.672,20.04,0.37,0.04,,,1071.18,52.81
9474,XS5,UCT Thesis,Mofokeng Hons 1996,Garnet harzburgite,Kalahari,South Africa,Frank Smith,Garnet,G10,41.41,0.11,19.53,4.65,6.03,6.314,0.185,21.02,0.3,0.02,,,958.1,42.22
9484,M2,https://doi.org/10.1016/j.lithos.2015.05.003,Gilio et al 2015,Garnet peridotite (F8),Non Cratonic,Sweden,Friningen,Garnet,G9,41.91,0.025,22.675,4.465,1.005,10.149,0.185,18.83,0.45,0,,,642.86,22.12
9485,2C42,https://doi.org/10.1016/j.lithos.2006.09.017,Song et al 2007,Garnet peridotite,Non Cratonic,China,North Qaidam,Garnet,G9,42.11,0.18,22.31,4.33,1.44,9.523,0.186,19.57,0.43,0.04,,,829.54,50.6
9500,QO77,https://doi.org/10.1007/BF00373673,Smith and Ehrenberg 1984,Garnet spinel peridotite,Non Cratonic,USA,Colorado,Garnet,G11,41.4,0.395,21.1,5.765,4.305,6.248,0.747,20.5,0.34,0.085,,,1222.62,45.14
9531,Mohelno1,https://doi.org/10.1016/0024-4937(90)90014-R,Medaris et al 1990,Garnet peridotite,Non Cratonic,Czechia,Moldanubian_Zone,Garnet,G9,41.5,0,21.8,4.72,1.83,6.851,0.743,21.8,0.28,0,,,1253.01,29.35
9548,UL1,https://doi.org/10.1016/S0264-3707(99)00029-0,Nimis and Morten 2000,Peridotites,Non Cratonic,Italy,Nonsberg,Garnet,G9,41.45,0.06,22.49,5.44,1.17,9.514,0.74,18.96,0.38,0,,,841.88,25.29
9549,UL3,https://doi.org/10.1016/S0264-3707(99)00029-0,Nimis and Morten 2000,Peridotites,Non Cratonic,Italy,Nonsberg,Garnet,G12,41.63,0.06,22.32,5.71,1.12,10.078,0.202,18.47,0.46,0.01,,,847.62,27.72
9550,G1415,https://doi.org/10.1016/S0264-3707(99)00029-0,Nimis and Morten 2000,Peridotites,Non Cratonic,Italy,Nonsberg,Garnet,G9,41.41,0.06,21.88,5.59,1.53,9.655,0.183,18.4,0.42,0,,,811.55,24.88
9551,A2683,https://doi.org/10.1016/S0264-3707(99)00029-0,Nimis and Morten 2000,Pyroxenites,Non Cratonic,Italy,Nonsberg,Garnet,G9,42.08,0.04,22.52,5.27,1.03,8.763,0.274,19.87,0.42,0,,,827.07,26.5
9628,U-16,https://doi.org/10.1016/j.gca.2006.03.010,Foley et al 2006,Spinel Garnet Lherzolite,Non Cratonic,Antarctica,Jetty Peninsula,Garnet,G9,42.04,0.13,22.32,5.57,1.91,6.662,0.187,20.54,0.367,0.013,,,1249.95,25.35
9630,U-47,https://doi.org/10.1016/j.gca.2006.03.010,Foley et al 2006,Spinel Garnet Lherzolite,Non Cratonic,Antarctica,Jetty Peninsula,Garnet,G9,41.74,0.25,21.25,5.24,1.89,7.521,0.744,21.08,0.34,0.03,,,1153.31,23.99
9633,DK-8/3,https://doi.org/10.1016/j.gca.2006.03.010,Foley et al 2006,Spinel Garnet Lherzolite,Non Cratonic,Antarctica,Jetty Peninsula,Garnet,G9,43.4,0.173,21.39,4.18,1.99,7.56,0.766,23.08,0,0.013,,,1134.47,23.17
9667,3536Mal,https://doi.org/10.1007/BF00374450,Delaney et al 1979,Garnet Lherzolite,Non Cratonic,Solomon Islands,Malaita,Garnet,G9,42.7,0.14,22.81,5.01,1.22,8.061,0.188,20.02,0.4,0.02,,,954.76,26.67
9670,3539Mal,https://doi.org/10.1007/BF00374450,Delaney et al 1979,Spinel Garnet Lherzolite,Non Cratonic,Solomon Islands,Malaita,Garnet,G12,42.17,0.04,19.63,7.37,5.06,5.865,0.395,20.11,0.29,0.003,,,1265.97,34.83
9674,3550BMal,https://doi.org/10.1007/BF00374450,Delaney et al 1979,Unclassified,Non Cratonic,Solomon Islands,Malaita,Garnet,G9,42.77,0.07,23.43,5.36,1.39,7.828,0.191,20.67,0.41,0.01,,,1020.75,26.29
9680,LA10A,https://doi.org/10.1016/j.lithos.2024.107513,Nimis et al 2024,Lherzolite,Non Cratonic,Chile,Patagonia,Garnet,G9,42.71,0.06,22.88,5.13,1.78,6.96,0.189,20.94,0.32,0.01,68.3,,1042.62,24.45
9684,LA2,https://doi.org/10.1016/j.lithos.2024.107513,Nimis et al 2024,Lherzolite,Non Cratonic,Chile,Patagonia,Garnet,G9,41.96,0.15,22.46,4.94,1.49,7.318,0.392,20.92,0.32,0.01,64.2,,1052.76,24.62
9688,LA4,https://doi.org/10.1016/j.lithos.2024.107513,Nimis et al 2024,Lherzolite,Non Cratonic,Chile,Patagonia,Garnet,G9,42.76,0.18,21.91,5.07,1.89,7.371,0.188,20.84,0.33,0.02,67.8,,1066.13,25.51
9692,TA28,https://doi.org/10.1016/j.lithos.2024.107513,Nimis et al 2024,Lherzolite,Non Cratonic,Chile,Patagonia,Garnet,G9,42.59,0.2,22.54,4.77,1.15,7.911,0.188,20.61,0.35,0.01,64.1,,1001.85,22.56
9696,LA1,https://doi.org/10.1016/j.lithos.2024.107513,Nimis et al 2024,Lherzolite,Non Cratonic,Chile,Patagonia,Garnet,G9,42.15,0.04,21.35,5.8,3.13,6.742,0.186,20.13,0.34,0.01,81.6,,1047.54,22.67
9700,LA11,https://doi.org/10.1016/j.lithos.2024.107513,Nimis et al 2024,Lherzolite,Non Cratonic,Chile,Patagonia,Garnet,G9,42.16,0.15,21.77,5.18,1.92,7.353,0.186,20.26,0.33,0.03,60.8,,986.78,21.84
9705,K141,https://doi.org/10.1016/j.lithos.2004.04.020,Aullbach et al. 2004,,Non Cratonic,Canada,Buffalo Head ,Garnet,G11,42.01,0.79,19.35,4.81,3.73,7.857,0.37,20.81,0.21,0.09,,,1218.78,56.19
9717,N9716,https://doi.org/10.1093/petrology/egl022,Beyer et al. 2006,,Non Cratonic,Norway,Almklovdalen,Garnet,G9,41.9,0.06,21.5,4.93,2.42,9.543,0.185,19.3,0.46,0.02,,,746.27,31.32
9739,PA13,https://doi.org/10.1016/j.lithos.2019.105250,Bhanot et al. 2020,,Non Cratonic,Chile,Pali Aike Chile,Garnet,G9,42.12,0.36,22.85,4.91,1.29,7.446,1.105,19.82,0.32,0.04,,,1298.94,43.64
9743,VI3131204,https://doi.org/10.1016/j.lithos.2019.105250,Bhanot et al. 2020,,Non Cratonic,Russia,Vitim,Garnet,G9,42.03,0.14,22.4,5.03,1.19,6.656,0.749,21.46,0.38,,,,1213.67,32.84
9744,VI3131280a,https://doi.org/10.1016/j.lithos.2019.105250,Bhanot et al. 2020,,Non Cratonic,Russia,Vitim,Garnet,G9,42.24,0.18,22.62,4.75,1.26,7.642,0.187,20.5,0.39,0.05,,,1000.81,20.83
9774,SAF40(GH),https://doi.org/10.1007/s00410-003-0499-1,Bizzaro and Stevenson (2003),,North Atlantic,Greenland,Safartoq,Garnet,G9,41.59,0.32,19.81,4.51,4.41,6.905,0.184,20.82,0.34,0.06,,,1101.09,58.54
9791,AT1080,https://doi.org/10.1016/j.lithos.2021.106119,Branchetti et al. 2021,,Kalahari,South Africa,Kimberley,Garnet,G9,42.4,0,19.8,5.32,4.81,6.183,0.186,20.8,0.36,,,,1018.88,44.42
9792,AT1083,https://doi.org/10.1016/j.lithos.2021.106119,Branchetti et al. 2021,,Kalahari,South Africa,Kimberley,Garnet,G10,42.6,0,19.4,4.51,6.09,5.962,0.187,21.2,0.27,,,,1020.39,48.25
9793,AT1162,https://doi.org/10.1016/j.lithos.2021.106119,Branchetti et al. 2021,,Kalahari,South Africa,Kimberley,Garnet,G10,43,0.02,21.3,3.99,3.04,5.68,0.189,22.6,0.28,,,,1046.57,44.12
9794,AT1165,https://doi.org/10.1016/j.lithos.2021.106119,Branchetti et al. 2021,,Kalahari,South Africa,Kimberley,Garnet,G9,42.1,0,19.6,5.32,5.01,5.824,0.184,20.5,0.36,,,,1066.2,48.69
9795,AT1167,https://doi.org/10.1016/j.lithos.2021.106119,Branchetti et al. 2021,,Kalahari,South Africa,Kimberley,Garnet,G9,41.8,0.02,18.8,5.33,5.88,6.076,0.182,19.9,0.4,0.02,,,1023.58,44.69
9796,AT1253,https://doi.org/10.1016/j.lithos.2021.106119,Branchetti et al. 2021,,Kalahari,South Africa,Kimberley,Garnet,G9,41.8,0,19.9,5.16,6.23,6.142,0.186,20.8,0.32,,,,1022.35,49.15
9797,AT1254,https://doi.org/10.1016/j.lithos.2021.106119,Branchetti et al. 2021,,Kalahari,South Africa,Kimberley,Garnet,G9,41.4,0.02,20.5,4.89,4.77,5.964,0.34,21.3,0.32,,,,1032.34,47.74
9798,AT1256,https://doi.org/10.1016/j.lithos.2021.106119,Branchetti et al. 2021,,Kalahari,South Africa,Kimberley,Garnet,G9,42.3,0.03,20.8,4.94,4.43,6.132,0.187,20.9,0.31,,,,992.77,45.89
9799,AT1257,https://doi.org/10.1016/j.lithos.2021.106119,Branchetti et al. 2021,,Kalahari,South Africa,Kimberley,Garnet,G9,42.2,0,20.7,5.37,4.66,6.262,0.187,20.7,0.32,,,,971.9,45.02
9800,AT1259,https://doi.org/10.1016/j.lithos.2021.106119,Branchetti et al. 2021,,Kalahari,South Africa,Kimberley,Garnet,G10,42.1,0,19.7,2.41,6.42,5.402,0.187,23.3,0.26,,,,961.34,45.43
9801,AT1260,https://doi.org/10.1016/j.lithos.2021.106119,Branchetti et al. 2021,,Kalahari,South Africa,Kimberley,Garnet,G10,42.1,0,19.9,2.74,6.22,5.292,0.187,23.1,0.28,,,,1008.36,48.6
9802,AT1261,https://doi.org/10.1016/j.lithos.2021.106119,Branchetti et al. 2021,,Kalahari,South Africa,Kimberley,Garnet,G9,42.6,0,22.4,4.43,2.97,5.859,0.189,22,0.25,,,,1050.57,46.98
9803,AT1264,https://doi.org/10.1016/j.lithos.2021.106119,Branchetti et al. 2021,,Kalahari,South Africa,Kimberley,Garnet,G10,41.7,0,19.9,2.38,6.21,5.272,0.186,23.4,0.29,,,,1204.06,58.5
9804,AT1702,https://doi.org/10.1016/j.lithos.2021.106119,Branchetti et al. 2021,,Kalahari,South Africa,Kimberley,Garnet,G9,40.7,0.12,18.9,5.58,6.54,5.948,0.736,21.2,0.32,0.02,,,1221.95,55.69
9807,AT1705,https://doi.org/10.1016/j.lithos.2021.106119,Branchetti et al. 2021,,Kalahari,South Africa,Kimberley,Garnet,G9,41.3,0,20.3,5.67,5,5.841,0.743,21.2,0.32,0.02,,,1099.99,47.08
